Date,Close,High,Low,Open,Volume
2021-01-01,2534.89697265625,2545.068590321651,2492.2627454204194,2493.128415008964,2681440
2021-01-04,2631.1591796875,2640.941287530261,2545.890731987187,2553.7250834103975,5113293
2021-01-05,2677.516357421875,2695.9118383773275,2631.2896804059933,2631.2896804059933,5801309
2021-01-06,2641.591064453125,2695.2625853432096,2629.2119455917064,2683.5760445042397,3726716
2021-01-07,2625.40283203125,2666.998299006181,2597.2252439937083,2661.93404725628,3717827
2021-01-08,2701.66796875,2707.814306989968,2648.9487785771425,2674.918864641624,5879039
2021-01-11,2749.755859375,2796.1125036786916,2723.8724256901296,2796.1125036786916,9508039
2021-01-12,2748.371337890625,2778.79954116313,2726.859362823632,2749.7562825059354,3611458
2021-01-13,2734.606689453125,2750.2320665668194,2706.2993384024294,2748.500727525858,3572801
2021-01-14,2819.38720703125,2833.090857385207,2706.3757644928123,2736.385016087656,6931542
2021-01-15,2804.338623046875,2839.5949632892425,2784.086692779007,2805.769610947068,4131692
2021-01-18,2794.278076171875,2824.634166081401,2764.4856575189,2818.779777313135,4160906
2021-01-19,2828.060546875,2843.932490590062,2803.1685909079238,2804.035907922437,2975735
2021-01-20,2869.779296875,2886.388337153132,2833.612210684304,2836.127345955775,3453446
2021-01-21,2839.466064453125,2870.0821875198885,2829.275088916032,2866.482906390826,2778546
2021-01-22,2864.834716796875,2883.828873399442,2811.7547497893943,2811.7547497893943,3052459
2021-01-25,2854.600341796875,2896.6652141947725,2843.628655246773,2869.9084013829615,2272887
2021-01-27,2828.364013671875,2867.7401189418397,2798.831828845749,2862.145966901448,2786662
2021-01-28,2772.422119140625,2840.4630934886236,2761.3638277079594,2801.433829608627,3083938
2021-01-29,2698.52734375,2790.029304580471,2688.683209236595,2784.1315055139653,5445659
2021-02-01,2722.811767578125,2745.0583644106773,2640.1998215401736,2688.6827581905527,3985846
2021-02-02,2778.40625,2796.229654445879,2732.048204560955,2752.863809929039,2881837
2021-02-03,2775.457763671875,2806.637766972181,2743.0199813438967,2786.6894762922184,2505866
2021-02-04,2765.396728515625,2808.242313539117,2754.598674675003,2789.3347613949722,2057261
2021-02-05,2738.944091796875,2780.4887094248074,2713.835303201099,2774.5040941718335,2366135
2021-02-08,2787.6435546875,2797.964541919402,2736.515049968468,2766.3074725517463,2526592
2021-02-09,2755.37890625,2815.1371662192623,2744.190603217716,2771.077426447726,2658751
2021-02-10,2786.94970703125,2792.2402135852535,2738.3799559273443,2762.4045940346355,2127983
2021-02-11,2780.61767578125,2792.1530316328526,2762.4474310728065,2788.4235270233057,1165882
2021-02-12,2767.435302734375,2814.87750331554,2759.8028702973493,2761.710925469774,2777404
2021-02-15,2723.245361328125,2783.220247051006,2716.046587894049,2783.220247051006,2630853
2021-02-16,2696.314453125,2747.3559186764055,2688.6820230970784,2732.0478621792895,3435770
2021-02-17,2665.351806640625,2717.173994459445,2641.457182292696,2693.105949070788,3678426
2021-02-18,2651.691650390625,2686.8611844905117,2628.837763295516,2658.326540580916,4189909
2021-02-19,2664.267578125,2677.5373576665384,2615.957856052445,2652.2551540267127,3725028
2021-02-22,2565.913818359375,2685.213308575286,2552.6438265198617,2685.213308575286,5366696
2021-02-23,2584.778564453125,2626.236367155983,2574.1973374236977,2575.9319717481076,3832829
2021-02-24,2556.9375,2604.856767390992,2533.563135920015,2577.6662929597965,3774549
2021-02-25,2597.87451171875,2627.883551244727,2574.586966831345,2579.400618270045,4224073
